Month,Qasim (PKR),Asim (PKR),Javed Nazeer (PKR),Hashim (PKR),Gross Profit (PKR),Expenditure (PKR),Net Profit (PKR),Usage Reason,Total Expenditure,Monthly Total,Monthly Cumulative,Total Spentage so Far (Monthly),Qasim Investment Cumulative,Asim Investment Cumulative,Javed Nazeer Investment Cumulative,Hashim Investment Cumulative
Feb 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,458.33,458.33,0,458.33,458.33,0,0,0
Mar 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,916.66,458.33,0,916.66,916.66,0,0,0
Apr 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,1374.99,458.33,0,1374.99,1374.99,0,0,0
May 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,1833.32,458.33,0,1833.32,1833.32,0,0,0
Jun 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,2291.65,458.33,0,2291.65,2291.65,0,0,0
Jul 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,2749.98,458.33,0,2749.98,2749.98,0,0,0
Aug 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,3208.31,458.33,0,3208.31,3208.31,0,0,0
Sep 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,3666.64,458.33,0,3666.64,3666.64,0,0,0
Oct 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,4124.97,458.33,0,4124.97,4124.97,0,0,0
Nov 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,4583.30,458.33,0,4583.30,4583.30,0,0,0
Dec 2025,458.33,0,0,0,0,458.33,0,Website development — AI usage only,5041.63,458.33,0,5041.63,5041.63,0,0,0
Jan 2026,458.37,0,0,0,0,458.37,0,Website development — AI usage only,5500.00,458.37,0,5500,5500,0,0,0
Jan 2026,65000,60000,0,20000,36250,29000,7250,—,29000,145000,123250,150500,70500,60000,0,20000
Feb 2026,60000,65000,0,0,31250,25000,6250,—,54000,125000,229500,275500,130500,125000,0,20000
Mar 2026,250000,65000,0,0,78750,313000,15750,"Company formation, legal, lawyer & other fees — solely by Qasim",367000,315000,247250,590500,380500,190000,0,20000
Apr 2026,60000,Skipped,0,0,15000,12000,3000,Petrol + Home Rent + Utilities Bill,379000,60000,298250,650500,440500,190000,0,20000
May 2026,65000,70000,0,0,33750,27000,6750,Petrol + Home Rent + Utilities Bill,406000,135000,413000,785500,505500,260000,0,20000
Jun 2026,Skipped,60000,0,20000,20000,16000,4000,Petrol + Home Rent + Utilities Bill,422000,80000,481000,865500,505500,320000,0,40000
